Location,Date,Type,Longitude,Latitude
Mendocino County,06/02/2021,other,-123.2223676289966,39.45767414804146
Mendocino County,06/02/2021,other,-123.221865965143,39.45867551753592
Mendocino County,06/02/2021,other,-123.2216920788801,39.4589206688428
Mendocino County,06/02/2021,other,-123.2221218040489,39.46285228935258
Mendocino County,06/02/2021,other,-123.2220331425007,39.46251526311246
Mendocino County,06/02/2021,other,-123.2215516669921,39.4621503008979
Mendocino County,06/02/2021,other,-123.2279820711308,39.46484430014995
Mendocino County,06/02/2021,other,-123.2279224413615,39.46504819496236
Mendocino County,06/02/2021,other,-123.2281047772896,39.46606224157135
Mendocino County,06/02/2021,other,-123.2281224081656,39.46637727072443
Mendocino County,06/02/2021,other,-123.2264664421419,39.46285285943753
Mendocino County,06/02/2021,other,-123.2262578289768,39.46228724430459
Mendocino County,06/02/2021,other,-123.2347816349707,39.46436913192673
Mendocino County,06/02/2021,other,-123.2349263879985,39.46425784577094
Mendocino County,06/02/2021,other,-123.2346731554161,39.46416792965468
Mendocino County,06/02/2021,other,-123.2348730656029,39.4641252532121
Mendocino County,06/02/2021,other,-123.2346455484556,39.46399204752451
Mendocino County,06/02/2021,other,-123.234849044216,39.46393648339794
Mendocino County,06/02/2021,other,-123.2349212295457,39.46718414125836
Mendocino County,06/02/2021,other,-123.2662419676925,39.42733789032035
Mendocino County,06/02/2021,other,-123.26411714738,39.42551710248783
Mendocino County,06/02/2021,other,-123.2792615158031,39.43718841499928
Mendocino County,06/02/2021,other,-123.2792914310588,39.43703191026761
Mendocino County,06/02/2021,other,-123.2791602109367,39.43716251354823
Mendocino County,06/02/2021,other,-123.2771192632547,39.43310252385535
Mendocino County,06/02/2021,other,-123.2965115281426,39.45930845237008
Mendocino County,06/02/2021,other,-123.2965643713201,39.45891540050994
Mendocino County,06/02/2021,other,-123.2940420827932,39.45885452125378
Mendocino County,06/02/2021,other,-123.2937950152707,39.4578807310316
Mendocino County,06/02/2021,other,-123.2930066507637,39.45959081852217
Mendocino County,06/02/2021,other,-123.2929317998511,39.45924482935691
Mendocino County,06/02/2021,other,-123.2934487679315,39.45833047370333
Mendocino County,06/02/2021,other,-123.2970941708218,39.45586487301933
Mendocino County,06/02/2021,other,-123.2973405617685,39.45616302966898
Mendocino County,06/02/2021,other,-123.2307000694831,39.45247131869046
Mendocino County,06/02/2021,other,-123.2310515803348,39.45200486850889
Mendocino County,06/02/2021,other,-123.231100602052,39.4521755848247
Mendocino County,06/02/2021,other,-123.2317498679265,39.4520261201221
Mendocino County,06/02/2021,other,-123.2285636829652,39.44535886541808
Mendocino County,06/02/2021,other,-123.2286004074766,39.44515310149965
Mendocino County,06/02/2021,other,-123.2288021356305,39.44523472423515
Mendocino County,06/02/2021,other,-123.2776538354902,39.4193131146947
Mendocino County,06/02/2021,other,-123.2803089005396,39.41878869491335
Mendocino County,06/02/2021,other,-123.2817110103167,39.41712607221574
Mendocino County,06/02/2021,other,-123.276731139212,39.41632535970313
Mendocino County,06/02/2021,other,-123.279467450124,39.41721741916736
Mendocino County,06/02/2021,other,-123.2629325890346,39.38803202800039
Mendocino County,06/02/2021,other,-123.2634529491244,39.38804243548855
Mendocino County,06/02/2021,other,-123.2583695328593,39.38888176291286
Mendocino County,06/02/2021,other,-123.2602918172209,39.38861150255858
Mendocino County,06/02/2021,other,-123.2565620362868,39.38953507872825
Mendocino County,06/02/2021,other,-123.2530492058117,39.39049988095802
Mendocino County,06/02/2021,other,-123.1365511565816,39.33528779974662
